path,blood_id
/home/cci/pigeon/datasets/crops/300579_0.jpg,B12-6325629
/home/cci/pigeon/datasets/crops/250415_1.jpg,1999-15-184970
/home/cci/pigeon/datasets/crops/371518_0.jpg,2012-23-200222
/home/cci/pigeon/datasets/crops/288102_0.jpg,2000-240621
/home/cci/pigeon/datasets/crops/445809_0.jpg,B93-5016264
/home/cci/pigeon/datasets/crops/180238_0.jpg,2002-02-000312
/home/cci/pigeon/datasets/crops/361922_0.jpg,T2012-239731
/home/cci/pigeon/datasets/crops/149417_0.jpg,B00-5041850
/home/cci/pigeon/datasets/crops/642821_0.jpg,2016-30-0200178
/home/cci/pigeon/datasets/crops/190681_0.jpg,2002-26-010923
/home/cci/pigeon/datasets/crops/529605_0.jpg,BLG2005-4045267
/home/cci/pigeon/datasets/crops/328607_0.jpg,2014-09-167067
/home/cci/pigeon/datasets/crops/592676_0.jpg,2008-01-775522
/home/cci/pigeon/datasets/crops/250228_0.jpg,2009-15-009334
/home/cci/pigeon/datasets/crops/96024_0.jpg,B03-6471677
/home/cci/pigeon/datasets/crops/677186_0.jpg,B06-6034709
/home/cci/pigeon/datasets/crops/289671_0.jpg,BLG2007-6110237
/home/cci/pigeon/datasets/crops/630359_0.jpg,19-09-0062216
/home/cci/pigeon/datasets/crops/684055_0.jpg,N2009-1373901
/home/cci/pigeon/datasets/crops/252730_0.jpg,15-09-0248205
/home/cci/pigeon/datasets/crops/659337_0.jpg,B01-6053447
/home/cci/pigeon/datasets/crops/537269_0.jpg,09-10-247471
/home/cci/pigeon/datasets/crops/260422_0.jpg,2000-104383
/home/cci/pigeon/datasets/crops/415356_0.jpg,N08-1098798
/home/cci/pigeon/datasets/crops/461684_0.jpg,T2013-151734
/home/cci/pigeon/datasets/crops/677084_0.jpg,12-01-999380
/home/cci/pigeon/datasets/crops/653944_0.jpg,B93-6080649
/home/cci/pigeon/datasets/crops/560997_0.jpg,B07-4093179
/home/cci/pigeon/datasets/crops/282603_0.jpg,N2013-1239744
/home/cci/pigeon/datasets/crops/462823_0.jpg,N09-1728616
/home/cci/pigeon/datasets/crops/470141_0.jpg,B2008-3090014
